Endpoint,IP
"us-ga-01.protonvpn.com","66.115.173.163"
"us-ga-02.protonvpn.com","66.115.173.164"
"us-ga-03.protonvpn.com","66.115.173.165"
"us-ga-04.protonvpn.com","66.115.173.166"
"us-ga-05.protonvpn.com","209.209.232.3"
"us-ga-06.protonvpn.com","209.209.232.4"
"us-ga-07.protonvpn.com","209.209.232.5"
"us-ga-08.protonvpn.com","209.209.232.6"
"us-ga-09.protonvpn.com","209.209.232.7"
"us-ga-10.protonvpn.com","209.209.232.8"
"us-ga-11.protonvpn.com","209.209.232.9"
"us-ga-12.protonvpn.com","209.209.232.10"
"us-il-05.protonvpn.com","208.100.43.185"
"us-il-06.protonvpn.com","208.100.43.186"
"us-il-07.protonvpn.com","208.100.43.187"
"us-il-08.protonvpn.com","208.100.43.188"
"us-il-109.protonvpn.com","74.119.146.35"
"us-il-110.protonvpn.com","74.119.146.36"
"us-il-111.protonvpn.com","74.119.146.37"
"us-il-112.protonvpn.com","74.119.146.38"
"us-il-13.protonvpn.com","74.119.146.40"
"us-il-14.protonvpn.com","74.119.146.41"
"us-il-15.protonvpn.com","74.119.146.42"
"us-il-16.protonvpn.com","74.119.146.43"
"us-nj-05.protonvpn.com","192.252.222.35"
"us-nj-06.protonvpn.com","192.252.222.36"
"us-nj-07.protonvpn.com","192.252.222.37"
"us-nj-08.protonvpn.com","192.252.222.38"
"us-nj-09.protonvpn.com","69.10.63.243"
"us-nj-10.protonvpn.com","69.10.63.244"
"us-nj-11.protonvpn.com","69.10.63.245"
"us-nj-12.protonvpn.com","69.10.63.246"
"us-ny-05.protonvpn.com","108.62.49.149"
"us-ny-06.protonvpn.com","108.62.49.152"
"us-ny-07.protonvpn.com","108.62.49.158"
"us-ny-09.protonvpn.com","172.98.93.227"
"us-ny-10.protonvpn.com","172.98.93.228"
"us-ny-101.protonvpn.com","108.62.49.129"
"us-ny-11.protonvpn.com","172.98.93.229"
"us-ny-12.protonvpn.com","172.98.93.230"
"us-tx-01.protonvpn.com","209.58.147.42"
"us-tx-02.protonvpn.com","209.58.147.43"
"us-tx-03.protonvpn.com","209.58.147.44"
"us-tx-05.protonvpn.com","208.84.155.67"
"us-tx-06.protonvpn.com","208.84.155.68"
"us-tx-07.protonvpn.com","208.84.155.69"
"us-tx-08.protonvpn.com","208.84.155.70"
"us-tx-101.protonvpn.com","209.58.147.210"
"us-tx-102.protonvpn.com","209.58.147.238"
"us-tx-103.protonvpn.com","209.58.147.239"
"us-tx-104.protonvpn.com","209.58.147.241"
"us-tx-105.protonvpn.com","209.58.147.242"
"us-tx-106.protonvpn.com","209.58.147.243"
"us-tx-107.protonvpn.com","209.58.147.244"
"us-tx-108.protonvpn.com","209.58.147.245"
"us-ut-01.protonvpn.com","173.231.63.98"
"us-ut-02.protonvpn.com","173.231.63.99"
"us-ut-03.protonvpn.com","173.231.63.100"
"us-ut-04.protonvpn.com","173.231.63.101"
"us-ut-05.protonvpn.com","173.231.63.102"
"us-ut-06.protonvpn.com","173.231.63.103"
"us-ut-07.protonvpn.com","173.231.63.104"
"us-ut-08.protonvpn.com","173.231.63.105"
"us-ut-09.protonvpn.com","173.231.63.82"
"us-ut-10.protonvpn.com","173.231.63.83"
"us-ut-11.protonvpn.com","173.231.63.84"
"us-ut-12.protonvpn.com","173.231.63.85"
"us-ut-13.protonvpn.com","173.231.63.86"
"us-ut-14.protonvpn.com","173.231.63.87"
"us-ut-15.protonvpn.com","173.231.63.88"
"us-ut-16.protonvpn.com","173.231.63.89"
"us-va-01.protonvpn.com","162.210.192.157"
"us-va-02.protonvpn.com","162.210.192.158"
"us-va-03.protonvpn.com","162.210.192.159"
"us-va-04.protonvpn.com","162.210.192.160"
"us-va-101.protonvpn.com","108.59.0.37"
"us-va-102.protonvpn.com","108.59.0.38"
"us-va-103.protonvpn.com","108.59.0.39"
"us-va-104.protonvpn.com","108.59.0.40"
"us-va-105.protonvpn.com","192.96.203.69"
"us-va-106.protonvpn.com","192.96.203.70"
"us-va-107.protonvpn.com","192.96.203.71"
"us-va-108.protonvpn.com","192.96.203.72"
"us-va-109.protonvpn.com","207.244.109.179"
"us-va-110.protonvpn.com","207.244.109.180"
"us-va-111.protonvpn.com","207.244.109.181"
"us-va-112.protonvpn.com","207.244.109.182"
"us-wa-09.protonvpn.com","199.187.211.99"
"us-wa-10.protonvpn.com","199.187.211.100"
"us-wa-11.protonvpn.com","199.187.211.101"
"us-wa-12.protonvpn.com","199.187.211.102"
"us-wa-13.protonvpn.com","199.187.211.104"
"us-wa-14.protonvpn.com","199.187.211.105"
"us-wa-15.protonvpn.com","199.187.211.106"
"us-wa-16.protonvpn.com","199.187.211.107"
"za-05.protonvpn.com","172.107.93.210"
"za-06.protonvpn.com","172.107.93.211"
"za-07.protonvpn.com","172.107.93.212"
"za-08.protonvpn.com","172.107.93.213"
"za-09.protonvpn.com","172.107.93.214"
"za-10.protonvpn.com","172.107.93.215"
"za-11.protonvpn.com","172.107.93.216"
"za-12.protonvpn.com","172.107.93.217"
